scenario,L_km,M,N,R_B1,var_B1,corr_B1,pooled_qber,R_B3,var_B3,corr_B3,R_B5,var_B5,corr_B5,R_B4,var_B4,corr_B4,dR_vs_B1,dR_necessity
monotone,10,8,10000000000.0,0.0,0.0,0.0,0.07475000001937501,0.0,7.616899276263758e-07,5.4578355357833415e-06,0.01921154965408723,0.0019107534022712955,0.014680529732045013,0.01921154965408723,0.0019107534022712955,0.014680529732045013,0.01921154965408723,0.0
monotone,30,8,10000000000.0,0.0,0.0,0.0,0.074750000019375,0.0,7.278730490155926e-07,2.108658888277564e-06,0.007636655661624597,0.0019107534022712964,0.00584442415385093,0.007636655661624597,0.0019107534022712964,0.00584442415385093,0.007636655661624597,0.0
monotone,50,8,10000000000.0,0.0,0.0,0.0,0.07475000001937501,0.0,3.7076447426290764e-07,4.93424301135805e-07,0.0030328929842784393,0.0019107534022712968,0.0023267071634041204,0.0030328929842784393,0.0019107534022712968,0.0023267071634041204,0.0030328929842784393,0.0
monotone,70,8,10000000000.0,0.0,0.0,0.0,0.07475000001937501,0.0,4.12388655275017e-07,1.874134161097353e-07,0.0012028833431867265,0.001910753402271296,0.0009262788055293663,0.0012028833431867265,0.001910753402271296,0.0009262788055293663,0.0012028833431867265,0.0
monotone,90,8,10000000000.0,0.0,0.0,0.0,0.07475000001937501,0.0,6.475941089087262e-07,1.2745476512906428e-07,0.0004767477180168505,0.001910753402271296,0.0003687582344129696,0.0004767477180168505,0.001910753402271296,0.0003687582344129696,0.0004767477180168505,0.0
quasiperiodic-mild,10,8,10000000000.0,0.057375747576276635,0.0,0.0,0.025674999999999996,0.05729272407182086,9.912438922142269e-08,3.6100910187435685e-06,0.0572963865794228,3.8459320743213886e-07,1.3328688629851715e-05,0.06125854035275414,0.0002941834905882103,0.009790886216927138,0.0038827927764775033,0.0039621537733313394
quasiperiodic-mild,30,8,10000000000.0,0.022831746855029415,0.0,0.0,0.025675,0.022779367138085264,1.5349287577146012e-07,2.0864311006134795e-06,0.02278054316895741,3.8459320743214045e-07,5.306246517614813e-06,0.024356430500406093,0.0002941834905882103,0.0038978220090320863,0.001524683645376678,0.0015758873314486825
quasiperiodic-mild,50,8,10000000000.0,0.009083205598586426,0.0,0.0,0.025675,0.009049764195484937,4.1690632298403475e-08,2.3783597210177537e-07,0.009050459675293306,3.845932074321416e-07,2.1124547873759404e-06,0.00967691688299369,0.0002941834905882104,0.001551750891336903,0.0005937112844072636,0.0006264572077003833
quasiperiodic-mild,70,8,10000000000.0,0.003612130321094285,0.0,0.0,0.025675000000000003,0.0035910960982272386,1.2403260770836954e-07,2.5849705281314405e-07,0.0035913056518373193,3.8459320743213833e-07,8.409833983217711e-07,0.003840140521621106,0.0002941834905882103,0.0006177631567540018,0.0002280102005268207,0.0002488348697837865
quasiperiodic-mild,90,8,10000000000.0,0.001435518306142099,0.0,0.0,0.025675,0.0014222597768710136,1.8071320836482834e-07,1.4584137310882128e-07,0.001422324719173648,3.8459320743213886e-07,3.3480152119015346e-07,0.0015210471380885996,0.00029418349058821035,0.00024593594240753316,8.552883194650049e-05,9.872241891495164e-05
quasiperiodic,10,8,10000000000.0,0.0,0.0,0.0,0.07087500000000002,0.0,9.155953291213768e-07,7.760147481019361e-06,0.0,3.5524228406601825e-06,2.8667284238949396e-05,0.029149974100709568,0.002717323476117552,0.021201537149734412,0.029149974100709568,0.029149974100709568
quasiperiodic,30,8,10000000000.0,0.0,0.0,0.0,0.07087500000000001,0.0,1.4177879048094255e-06,4.491593272876892e-06,0.0,3.552422840660182e-06,1.1412651415817831e-05,0.011588639625959478,0.002717323476117552,0.008440483966065615,0.011588639625959478,0.011588639625959478
quasiperiodic,50,8,10000000000.0,0.0,0.0,0.0,0.07087500000000002,0.0,3.850893660012071e-07,5.115681827833245e-07,0.0,3.5524228406601825e-06,4.543458363656174e-06,0.004603325157262167,0.0027173234761175523,0.0033602171898325373,0.004603325157262167,0.004603325157262167
quasiperiodic,70,8,10000000000.0,0.0,0.0,0.0,0.070875,0.0,1.1456683583981477e-06,5.567147526410551e-07,0.0,3.552422840660163e-06,1.8087833536807608e-06,0.0018261935126103665,0.0027173234761175523,0.0013377265578894543,0.0018261935126103665,0.0018261935126103665
quasiperiodic,90,8,10000000000.0,0.0,0.0,0.0,0.07087500000000001,0.0,1.6692175436236033e-06,3.1417759449265906e-07,0.0,3.5524228406601956e-06,7.200896230794943e-07,0.0007229772746339357,0.0027173234761175523,0.0005325585349356407,0.0007229772746339357,0.0007229772746339357
