loss_dB,B4ad_n1e8,B1_n1e8,B4ad_n1e10,B1_n1e10,B4ad_n1e12,B1_n1e12
0.0,0.5152970451171102,0.49951042894440534,0.5588205265233618,0.5327841587380572,0.5674219034763924,0.5393577509589227
1.0,0.4025309444784856,0.39149122732928127,0.44228440861617335,0.42207344847308004,0.45035693458138937,0.42817924669588503
2.0,0.3137096131790568,0.306159017693143,0.3498836100403804,0.33418576869045735,0.3574195961017926,0.3399014786212251
3.0,0.24355060699042047,0.2385897540230092,0.27657007981095866,0.2644625476896069,0.2836062126529563,0.2697837188313946
4.0,0.18865712908277207,0.18536252823375718,0.21841586166092836,0.20914229782788749,0.22501982847956906,0.21411671422979275
5.0,0.14524349858180644,0.1434216037195758,0.17235735091146365,0.165271648456716,0.17848784562799772,0.1699024210181774
6.0,0.11121829275386017,0.110356394039289,0.13581941605312262,0.13049653878760786,0.1415629024601149,0.13480251030285872
7.0,0.08461603629193531,0.08437831842332998,0.10691106397396306,0.10289828047859628,0.11223799809454899,0.10692693827516578
8.0,0.06403325958292062,0.06403325958292062,0.08407019580549029,0.0810678627757831,0.08897010281557297,0.08479890562768161
9.0,0.04815569605498785,0.04815569605498785,0.0659692786822622,0.06376061722394091,0.07049535434855872,0.06722813989125412
10.0,0.03567796065179483,0.03567796065179483,0.051652749422657886,0.05007237990110627,0.05583796890717671,0.05328082088272002
11.0,0.0260594825554764,0.0260594825554764,0.04036121754839392,0.03924440230937426,0.04420375841819232,0.0422085470586361
12.0,0.01868718367878005,0.01868718367878005,0.03142414080778874,0.030677629480634995,0.03497413179477644,0.03341977908037384
13.0,0.012954828779162457,0.012954828779162457,0.024409860378181127,0.023913284503447305,0.0276516288628283,0.026445040769237746
14.0,0.008656411331471738,0.008656411331471738,0.018899410492644812,0.018569541353265388,0.021842679249050354,0.02091699481895896
15.0,0.005379924263172054,0.005379924263172054,0.014552207489926078,0.0143709402482658,0.0172371571416969,0.016528101432948847
16.0,0.002965975133005566,0.002965975133005566,0.01113741647061996,0.011051872352141686,0.013583363655862796,0.01305037775400024
17.0,0.0012321951203460677,0.0012321951203460677,0.008477433141724814,0.008444194960475047,0.010694667795248114,0.010293664551323634
18.0,1.423020735928294e-05,1.423020735928294e-05,0.00641792211230955,0.00641792211230955,0.008408341750661739,0.008109261301084358
19.0,0.0,0.0,0.004816981218799783,0.004816981218799783,0.006598250038338936,0.006378536745900141
20.0,0.0,0.0,0.0035759687980843856,0.0035759687980843856,0.005166426978497994,0.005007680624935966
21.0,0.0,0.0,0.0026127637133702567,0.0026127637133702567,0.004037465224174967,0.0039259987725774785
22.0,0.0,0.0,0.0018682771478109226,0.0018682771478109226,0.0031425093325815902,0.0030679717552248007
23.0,0.0,0.0,0.0013001808002496352,0.0013001808002496352,0.002442244962013259,0.002391139878871679
24.0,0.0,0.0,0.0008641861523848284,0.0008641861523848284,0.00188961885200417,0.0018581681668487515
25.0,0.0,0.0,0.0005401840185478954,0.0005401840185478954,0.001455062333801403,0.0014370536578457828
26.0,0.0,0.0,0.0002962526339329072,0.0002962526339329072,0.001114810275521941,0.001105146868233371
27.0,0.0,0.0,0.0001232718519920401,0.0001232718519920401,0.0008476018085841448,0.0008451295339330058
28.0,0.0,0.0,1.4753606933620292e-06,1.4753606933620292e-06,0.0006418833038826547,0.0006418833038826547
29.0,0.0,0.0,0.0,0.0,0.0004814607990377433,0.0004814607990377433
30.0,0.0,0.0,0.0,0.0,0.0003577446182232777,0.0003577446182232777
31.0,0.0,0.0,0.0,0.0,0.00026142410975186483,0.00026142410975186483
32.0,0.0,0.0,0.0,0.0,0.00018636224194475498,0.00018636224194475498
33.0,0.0,0.0,0.0,0.0,0.00013013705342425206,0.00013013705342425206
34.0,0.0,0.0,0.0,0.0,8.612458620393394e-05,8.612458620393394e-05
35.0,0.0,0.0,0.0,0.0,5.4036890234474614e-05,5.4036890234474614e-05
36.0,0.0,0.0,0.0,0.0,2.9658312175857606e-05,2.9658312175857606e-05
37.0,0.0,0.0,0.0,0.0,1.2207537455620553e-05,1.2207537455620553e-05
38.0,0.0,0.0,0.0,0.0,2.788832575276494e-08,2.788832575276494e-08
39.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0
